Label,asds,Site,X(East),Y(North),Z,Valid,Manufact.,Type-generator,"Power, rated",Rotor diameter,Hub height,Row data/Description,Creator,Name,User label,Result,Efficiency,Regional / Correction Factor,Equivalent roughness,Free mean wind speed,HP-value,Calculated prod. without new WTGs,Actual wind corrected energy,Goodness Factor,A (Sum),k (Sum),A (0),k (0),f (0),A (1),k (1),f (1),A (2),k (2),f (2),A (3),k (3),f (3),A (4),k (4),f (4),A (5),k (5),f (5),A (6),k (6),f (6),A (7),k (7),f (7),A (8),k (8),f (8),A (9),k (9),f (9),A (10),k (10),f (10),A (11),k (11),f (11),Air density,Displacement height,Decrease due to obstacles,Increase due to hills,Sensitivity
16,New,B,"1,700,182","7,231,660",370,Yes,Envision,"V117-3.3MW-3,300","3,300",117,100,T16,USER,Power Mode = 3300; Serrations = True,T16,"13,599.99",97.4207,1,,7.84,95.7,0,0,,8.8,2.846,8.65,2.656,6.6,8.25,2.744,8,7.51,2.441,4.4,7.78,2.534,5.7,8.08,2.574,5.6,8.55,2.861,9.9,8.74,2.966,10,8.44,2.937,7.1,8.71,3.049,7.1,9.81,3.194,17.5,9.61,3.129,8.8,8.92,3.114,9.2,1.229,0,0,0,1.79
17,New,B,"1,701,125","7,231,625",340,Yes,Envision,"V117-3.3MW-3,300","3,300",117,100,T17,USER,Power Mode = 3300; Serrations = True,T17,"11,187.21",93.3967,1,,7.24,94.2,0,0,,8.13,2.841,7.68,2.656,6.6,7.44,2.744,8,7.05,2.441,4.4,7.38,2.534,5.7,7.57,2.574,5.6,7.82,2.861,9.9,7.92,2.966,10,7.91,2.937,7.1,8.19,3.049,7.1,9.09,3.194,17.5,9.01,3.129,8.8,8.22,3.114,9.2,1.229,0,0,0,2.07
1,New,B,"1,701,716","7,234,608",369.5,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T1,USER,Power Mode = 3300; Serrations = True,T1,"9,470.17",92.0924,1,,6.77,93.2,0,0,,7.59,2.948,7.9,2.756,6.6,7.76,2.844,8.1,6.92,2.516,4.4,6.73,2.63,5.7,6.72,2.67,5.7,7.08,2.998,9.9,7.24,3.074,9.9,7.18,3.05,7.1,7.69,3.174,7.1,8.39,3.29,17.5,8.18,3.254,8.8,7.58,3.272,9.3,1.229,0,0,0,2.36
2,New,B,"1,701,859","7,234,274",370,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T2,USER,Power Mode = 3300; Serrations = True,T2,"8,801.24",89.9426,1,,6.63,92.9,0,0,,7.43,2.953,7.61,2.756,6.6,7.42,2.844,8.1,6.52,2.516,4.4,6.76,2.63,5.7,6.82,2.67,5.7,7.08,2.998,9.9,7.05,3.074,9.9,6.98,3.05,7.1,7.56,3.174,7.1,8.24,3.29,17.5,8.04,3.254,8.8,7.38,3.272,9.3,1.229,0,0,0,2.44
3,New,B,"1,702,416","7,233,900",400,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T3,USER,Power Mode = 3300; Serrations = True,T3,"10,205.15",92.0162,1,,7,93.8,0,0,,7.84,2.959,8.13,2.756,6.6,7.08,2.844,8.1,7.36,2.516,4.4,7.26,2.63,5.7,7.58,2.67,5.7,7.78,2.998,9.9,7.68,3.074,9.9,7.14,3.05,7.1,7.54,3.174,7.1,8.54,3.29,17.5,8.54,3.254,8.8,7.98,3.272,9.3,1.229,0,0,0,2.25
4,New,B,"1,700,273","7,233,564",340,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T4,USER,Power Mode = 3300; Serrations = True,T4,"9,341.61",91.32,1,,6.76,93.2,0,0,,7.58,2.939,8.09,2.756,6.6,7.82,2.844,8.1,7.05,2.516,4.4,6.46,2.63,5.7,6.62,2.67,5.7,6.98,2.998,9.9,7.48,3.074,9.9,7.34,3.05,7.1,7.64,3.174,7.1,8.44,3.29,17.5,7.84,3.254,8.8,7.37,3.272,9.3,1.229,0,0,0,2.37
5,New,B,"1,699,807","7,233,387",328,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T5,USER,Power Mode = 3300; Serrations = True,T5,"9,703.54",96.0204,1,,6.72,93.1,0,0,,7.53,2.936,8.1,2.756,6.6,7.74,2.844,8.1,6.82,2.516,4.4,6.32,2.63,5.7,6.52,2.67,5.7,6.98,2.998,9.9,7.38,3.074,9.9,7.24,3.05,7.1,7.54,3.174,7.1,8.34,3.29,17.5,7.96,3.254,8.8,7.58,3.272,9.3,1.229,0,0,0,2.38
6,New,B,"1,701,864","7,233,511",420,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T6,USER,Power Mode = 3300; Serrations = True,T6,"11,094.46",87.4611,1,,7.45,94.7,0,0,,8.35,2.954,8.7,2.756,6.6,7.72,2.844,8.1,7.61,2.516,4.4,7.59,2.63,5.7,8.13,2.67,5.7,8.26,2.998,9.9,8.12,3.074,9.9,7.53,3.05,7.1,8.05,3.174,7.1,9.09,3.29,17.5,9.24,3.254,8.8,8.48,3.272,9.3,1.229,0,0,0,2.02
7,New,B,"1,701,464","7,233,151",439,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T7,USER,Power Mode = 3300; Serrations = True,T7,"12,209.24",88.4392,1,,7.79,95.5,0,0,,8.73,2.964,9.04,2.756,6.6,8.5,2.844,8.1,8.05,2.516,4.4,8.05,2.63,5.7,8.37,2.67,5.7,8.28,2.998,9.9,8.43,3.074,9.9,8.14,3.05,7.1,8.66,3.174,7.1,9.59,3.29,17.5,9.38,3.254,8.8,8.58,3.272,9.3,1.229,0,0,0,1.86
8,New,B,"1,701,923","7,233,212",438.1,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T8,USER,Power Mode = 3300; Serrations = True,T8,"10,977.49",83.6974,1,,7.58,95,0,0,,8.49,2.955,8.9,2.756,6.6,7.92,2.844,8.1,7.43,2.516,4.4,7.7,2.63,5.7,8.26,2.67,5.7,8.38,2.998,9.9,8.32,3.074,9.9,7.74,3.05,7.1,8.14,3.174,7.1,9.24,3.29,17.5,9.32,3.254,8.8,8.68,3.272,9.3,1.229,0,0,0,1.96
9,New,B,"1,701,661","7,232,773",429.6,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T9,USER,Power Mode = 3300; Serrations = True,T9,"11,181.18",84.4259,1,,7.62,95.1,0,0,,8.55,2.937,8.5,2.756,6.6,8.03,2.844,8.1,7.64,2.516,4.4,8.2,2.63,5.7,8.19,2.67,5.7,8.09,2.998,9.9,8.17,3.074,9.9,7.75,3.05,7.1,8.35,3.174,7.1,9.64,3.29,17.5,9.49,3.254,8.8,8.43,3.272,9.3,1.229,0,0,0,1.93
10,New,B,"1,700,604","7,232,737",367.8,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T10,USER,Power Mode = 3300; Serrations = True,T10,"9,901.92",92.8607,1,,6.88,93.5,0,0,,7.71,2.962,8.38,2.756,6.6,7.72,2.844,8.1,6.82,2.516,4.4,6.66,2.63,5.7,6.99,2.67,5.7,7.4,2.998,9.9,7.86,3.074,9.9,7.44,3.05,7.1,7.44,3.174,7.1,8.24,3.29,17.5,8.14,3.254,8.8,7.78,3.272,9.3,1.229,0,0,0,2.31
11,New,B,"1,702,204","7,232,495",382.2,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T11,USER,Power Mode = 3300; Serrations = True,T11,"9,312.54",83.6323,1,,7.01,93.8,0,0,,7.86,2.946,7.8,2.756,6.6,7.08,2.844,8.1,7.1,2.516,4.4,7.57,2.63,5.7,7.46,2.67,5.7,7.58,2.998,9.9,7.61,3.074,9.9,7.41,3.05,7.1,7.72,3.174,7.1,8.82,3.29,17.5,8.64,3.254,8.8,7.68,3.272,9.3,1.229,0,0,0,2.24
12,New,B,"1,701,240","7,232,464",410.1,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T12,USER,Power Mode = 3300; Serrations = True,T12,"11,376.78",89.8605,1,,7.44,94.7,0,0,,8.34,2.963,8.5,2.756,6.6,8.17,2.844,8.1,7.25,2.516,4.4,7.69,2.63,5.7,7.82,2.67,5.7,8.08,2.998,9.9,8.12,3.074,9.9,7.82,3.05,7.1,8.11,3.174,7.1,9.14,3.29,17.5,9.08,3.254,8.8,8.38,3.272,9.3,1.229,0,0,0,2.03
13,New,B,"1,701,822","7,232,321",402.7,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T13,USER,Power Mode = 3300; Serrations = True,T13,"10,227.48",84.2575,1,,7.3,94.3,0,0,,8.18,2.935,8.2,2.756,6.6,7.74,2.844,8.1,7.52,2.516,4.4,7.88,2.63,5.7,7.56,2.67,5.7,7.48,2.998,9.9,7.78,3.074,9.9,7.84,3.05,7.1,8.24,3.174,7.1,9.34,3.29,17.5,8.84,3.254,8.8,7.88,3.272,9.3,1.229,0,0,0,2.09
14,New,B,"1,702,207","7,231,906",370.1,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T14,USER,Power Mode = 3300; Serrations = True,T14,"9,484.48",84.1139,1,,7.05,93.9,0,0,,7.9,2.961,7.72,2.756,6.6,7.59,2.844,8.1,7.57,2.516,4.4,7.66,2.63,5.7,7.39,2.67,5.7,7.34,2.998,9.9,7.75,3.074,9.9,7.74,3.05,7.1,8.01,3.174,7.1,8.81,3.29,17.5,8.36,3.254,8.8,7.47,3.272,9.3,1.229,0,0,0,2.22
15,New,B,"1,701,870","7,231,859",396.7,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T15,USER,Power Mode = 3300; Serrations = True,T15,"11,045.14",89.1412,1,,7.38,94.5,0,0,,8.27,2.923,8.1,2.756,6.6,7.52,2.844,8.1,7.87,2.516,4.4,8.12,2.63,5.7,7.89,2.67,5.7,7.68,2.998,9.9,7.68,3.074,9.9,7.87,3.05,7.1,8.44,3.174,7.1,9.5,3.29,17.5,9.01,3.254,8.8,7.81,3.272,9.3,1.229,0,0,0,2.04
16,New,B,"1,700,182","7,231,660",370,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T16,USER,Power Mode = 3300; Serrations = True,T16,"12,338.65",96.9608,1,,7.46,94.7,0,0,,8.36,2.961,8.75,2.756,6.6,7.96,2.844,8.1,7.2,2.516,4.4,7.7,2.63,5.7,7.9,2.67,5.7,8.14,2.998,9.9,8.32,3.074,9.9,7.82,3.05,7.1,8.06,3.174,7.1,9.18,3.29,17.5,8.98,3.254,8.8,8.38,3.272,9.3,1.229,0,0,0,2.02
17,New,B,"1,701,125","7,231,625",340,Yes,Envision,"V117-3.3MW-3,300","3,300",117,80,T17,USER,Power Mode = 3300; Serrations = True,T17,"9,518.75",92.2379,1,,6.78,93.3,0,0,,7.6,2.962,7.6,2.756,6.6,7.02,2.844,8.1,6.72,2.516,4.4,7.26,2.63,5.7,7.32,2.67,5.7,7.28,2.998,9.9,7.38,3.074,9.9,7.24,3.05,7.1,7.44,3.174,7.1,8.34,3.29,17.5,8.34,3.254,8.8,7.68,3.272,9.3,1.229,0,0,0,2.37
1,New,B,"1,701,716","7,234,608",369.5,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T1,USER,Power Mode = 3300; Serrations = True,T1,"12,351.91",93.5095,1,,7.61,95.1,0,0,,8.56,2.72,7.9,2.555,6.7,8.39,2.645,7.9,7.55,2.365,4.4,7.14,2.44,5.8,7.5,2.48,5.5,8.07,2.725,10,8.27,2.855,10.1,8.5,2.825,7.1,9.01,2.925,7.1,9.72,3.1,17.6,9.35,3,8.8,8.6,2.955,9.2,1.229,0,0,0,1.83
2,New,B,"1,701,859","7,234,274",370,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T2,USER,Power Mode = 3300; Serrations = True,T2,"11,841.00",91.947,1,,7.51,94.8,0,0,,8.44,2.72,7.82,2.555,6.7,8.2,2.645,7.9,7.3,2.365,4.4,7.1,2.44,5.8,7.45,2.48,5.5,8.05,2.725,10,8.12,2.855,10.1,8.3,2.825,7.1,8.83,2.925,7.1,9.6,3.1,17.6,9.25,3,8.8,8.55,2.955,9.2,1.229,0,0,0,1.88
3,New,B,"1,702,416","7,233,900",400,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T3,USER,Power Mode = 3300; Serrations = True,T3,"13,075.69",93.9021,1,,7.84,95.7,0,0,,8.82,2.729,8.18,2.555,6.7,8.05,2.645,7.9,7.9,2.365,4.4,7.5,2.44,5.8,8.08,2.48,5.5,8.6,2.725,10,8.65,2.855,10.1,8.55,2.825,7.1,8.93,2.925,7.1,9.9,3.1,17.6,9.8,3,8.8,9,2.955,9.2,1.229,0,0,0,1.74
4,New,B,"1,700,273","7,233,564",340,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T4,USER,Power Mode = 3300; Serrations = True,T4,"12,233.05",93.403,1,,7.58,95,0,0,,8.52,2.714,8.17,2.555,6.7,8.45,2.645,7.9,7.53,2.365,4.4,6.8,2.44,5.8,7.25,2.48,5.5,8,2.725,10,8.45,2.855,10.1,8.55,2.825,7.1,9,2.925,7.1,9.7,3.1,17.6,9.05,3,8.8,8.47,2.955,9.2,1.229,0,0,0,1.85
5,New,B,"1,699,807","7,233,387",328,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T5,USER,Power Mode = 3300; Serrations = True,T5,"12,577.86",96.9397,1,,7.54,94.9,0,0,,8.48,2.714,8.1,2.555,6.7,8.36,2.645,7.9,7.45,2.365,4.4,6.75,2.44,5.8,7.15,2.48,5.5,8,2.725,10,8.4,2.855,10.1,8.45,2.825,7.1,8.91,2.925,7.1,9.6,3.1,17.6,9.14,3,8.8,8.56,2.955,9.2,1.229,0,0,0,1.86
6,New,B,"1,701,864","7,233,511",420,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T6,USER,Power Mode = 3300; Serrations = True,T6,"13,495.31",89.8038,1,,8.22,96.2,0,0,,9.24,2.723,8.55,2.555,6.7,8.5,2.645,7.9,8.06,2.365,4.4,7.76,2.44,5.8,8.49,2.48,5.5,9.06,2.725,10,9.03,2.855,10.1,8.87,2.825,7.1,9.3,2.925,7.1,10.38,3.1,17.6,10.41,3,8.8,9.5,2.955,9.2,1.229,0,0,0,1.58
7,New,B,"1,701,464","7,233,151",439,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T7,USER,Power Mode = 3300; Serrations = True,T7,"14,372.74",90.6692,1,,8.51,96.5,0,0,,9.57,2.726,8.8,2.555,6.7,9.08,2.645,7.9,8.53,2.365,4.4,8.13,2.44,5.8,8.65,2.48,5.5,9.1,2.725,10,9.33,2.855,10.1,9.4,2.825,7.1,9.88,2.925,7.1,10.85,3.1,17.6,10.55,3,8.8,9.58,2.955,9.2,1.229,0,0,0,1.47
8,New,B,"1,701,923","7,233,212",438.1,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T8,USER,Power Mode = 3300; Serrations = True,T8,"13,434.67",87.2495,1,,8.34,96.3,0,0,,9.38,2.725,8.75,2.555,6.7,8.7,2.645,7.9,8.05,2.365,4.4,7.85,2.44,5.8,8.6,2.48,5.5,9.2,2.725,10,9.23,2.855,10.1,9.03,2.825,7.1,9.4,2.925,7.1,10.5,3.1,17.6,10.53,3,8.8,9.7,2.955,9.2,1.229,0,0,0,1.53
9,New,B,"1,701,661","7,232,773",429.6,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T9,USER,Power Mode = 3300; Serrations = True,T9,"13,574.55",87.6829,1,,8.39,96.3,0,0,,9.43,2.705,8.5,2.555,6.7,8.73,2.645,7.9,8.23,2.365,4.4,8.2,2.44,5.8,8.58,2.48,5.5,8.97,2.725,10,9,2.855,10.1,9.1,2.825,7.1,9.7,2.925,7.1,10.9,3.1,17.6,10.65,3,8.8,9.43,2.955,9.2,1.229,0,0,0,1.51
10,New,B,"1,700,604","7,232,737",367.8,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T10,USER,Power Mode = 3300; Serrations = True,T10,"12,720.64",94.523,1,,7.69,95.3,0,0,,8.64,2.731,8.26,2.555,6.7,8.35,2.645,7.9,7.45,2.365,4.4,7,2.44,5.8,7.58,2.48,5.5,8.35,2.725,10,8.71,2.855,10.1,8.65,2.825,7.1,8.82,2.925,7.1,9.6,3.1,17.6,9.4,3,8.8,8.8,2.955,9.2,1.229,0,0,0,1.8
11,New,B,"1,702,204","7,232,495",382.2,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T11,USER,Power Mode = 3300; Serrations = True,T11,"12,170.17",87.5562,1,,7.84,95.7,0,0,,8.82,2.706,7.95,2.555,6.7,7.9,2.645,7.9,7.73,2.365,4.4,7.75,2.44,5.8,8,2.48,5.5,8.4,2.725,10,8.48,2.855,10.1,8.64,2.825,7.1,9.08,2.925,7.1,10.18,3.1,17.6,9.9,3,8.8,8.85,2.955,9.2,1.229,0,0,0,1.73
12,New,B,"1,701,240","7,232,464",410.1,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T12,USER,Power Mode = 3300; Serrations = True,T12,"13,805.54",92.0718,1,,8.2,96.2,0,0,,9.22,2.725,8.5,2.555,6.7,8.76,2.645,7.9,7.86,2.365,4.4,7.87,2.44,5.8,8.25,2.48,5.5,8.9,2.725,10,9.03,2.855,10.1,9.03,2.825,7.1,9.38,2.925,7.1,10.4,3.1,17.6,10.25,3,8.8,9.4,2.955,9.2,1.229,0,0,0,1.59
13,New,B,"1,701,822","7,232,321",402.7,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T13,USER,Power Mode = 3300; Serrations = True,T13,"12,876.42",87.6143,1,,8.11,96.2,0,0,,9.12,2.705,8.2,2.555,6.7,8.51,2.645,7.9,8.15,2.365,4.4,8.11,2.44,5.8,8.1,2.48,5.5,8.45,2.725,10,8.75,2.855,10.1,9.05,2.825,7.1,9.6,2.925,7.1,10.6,3.1,17.6,10.1,3,8.8,8.9,2.955,9.2,1.229,0,0,0,1.62
14,New,B,"1,702,207","7,231,906",370.1,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T14,USER,Power Mode = 3300; Serrations = True,T14,"12,350.59",87.959,1,,7.89,95.8,0,0,,8.87,2.715,7.87,2.555,6.7,8.37,2.645,7.9,8.23,2.365,4.4,7.84,2.44,5.8,7.83,2.48,5.5,8.25,2.725,10,8.57,2.855,10.1,8.95,2.825,7.1,9.37,2.925,7.1,10.19,3.1,17.6,9.7,3,8.8,8.65,2.955,9.2,1.229,0,0,0,1.71
15,New,B,"1,701,870","7,231,859",396.7,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T15,USER,Power Mode = 3300; Serrations = True,T15,"13,576.23",91.6644,1,,8.16,96.2,0,0,,9.18,2.691,8.1,2.555,6.7,8.3,2.645,7.9,8.39,2.365,4.4,8.24,2.44,5.8,8.28,2.48,5.5,8.5,2.725,10,8.65,2.855,10.1,9.05,2.825,7.1,9.7,2.925,7.1,10.78,3.1,17.6,10.22,3,8.8,8.94,2.955,9.2,1.229,0,0,0,1.59
16,New,B,"1,700,182","7,231,660",370,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T16,USER,Power Mode = 3300; Serrations = True,T16,"14,523.23",97.679,1,,8.16,96.2,0,0,,9.17,2.725,8.57,2.555,6.7,8.5,2.645,7.9,7.78,2.365,4.4,7.85,2.44,5.8,8.2,2.48,5.5,8.91,2.725,10,9.1,2.855,10.1,8.99,2.825,7.1,9.25,2.925,7.1,10.36,3.1,17.6,10.15,3,8.8,9.35,2.955,9.2,1.229,0,0,0,1.61
17,New,B,"1,701,125","7,231,625",340,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T17,USER,Power Mode = 3300; Serrations = True,T17,"12,471.55",94.2004,1,,7.62,95.1,0,0,,8.57,2.717,7.75,2.555,6.7,7.8,2.645,7.9,7.35,2.365,4.4,7.5,2.44,5.8,7.75,2.48,5.5,8.25,2.725,10,8.35,2.855,10.1,8.45,2.825,7.1,8.8,2.925,7.1,9.75,3.1,17.6,9.6,3,8.8,8.7,2.955,9.2,1.229,0,0,0,1.83
1,New,B,"1,701,716","7,234,608",369.5,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T1,USER,Power Mode = 3300; Serrations = True,T1,"12,351.91",93.5095,1,,7.61,95.1,0,0,,8.56,2.72,7.9,2.555,6.7,8.39,2.645,7.9,7.55,2.365,4.4,7.14,2.44,5.8,7.5,2.48,5.5,8.07,2.725,10,8.27,2.855,10.1,8.5,2.825,7.1,9.01,2.925,7.1,9.72,3.1,17.6,9.35,3,8.8,8.6,2.955,9.2,1.229,0,0,0,1.83
2,New,B,"1,701,859","7,234,274",370,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T2,USER,Power Mode = 3300; Serrations = True,T2,"11,841.00",91.947,1,,7.51,94.8,0,0,,8.44,2.72,7.82,2.555,6.7,8.2,2.645,7.9,7.3,2.365,4.4,7.1,2.44,5.8,7.45,2.48,5.5,8.05,2.725,10,8.12,2.855,10.1,8.3,2.825,7.1,8.83,2.925,7.1,9.6,3.1,17.6,9.25,3,8.8,8.55,2.955,9.2,1.229,0,0,0,1.88
3,New,B,"1,702,416","7,233,900",400,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T3,USER,Power Mode = 3300; Serrations = True,T3,"13,075.69",93.9021,1,,7.84,95.7,0,0,,8.82,2.729,8.18,2.555,6.7,8.05,2.645,7.9,7.9,2.365,4.4,7.5,2.44,5.8,8.08,2.48,5.5,8.6,2.725,10,8.65,2.855,10.1,8.55,2.825,7.1,8.93,2.925,7.1,9.9,3.1,17.6,9.8,3,8.8,9,2.955,9.2,1.229,0,0,0,1.74
4,New,B,"1,700,273","7,233,564",340,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T4,USER,Power Mode = 3300; Serrations = True,T4,"12,233.05",93.403,1,,7.58,95,0,0,,8.52,2.714,8.17,2.555,6.7,8.45,2.645,7.9,7.53,2.365,4.4,6.8,2.44,5.8,7.25,2.48,5.5,8,2.725,10,8.45,2.855,10.1,8.55,2.825,7.1,9,2.925,7.1,9.7,3.1,17.6,9.05,3,8.8,8.47,2.955,9.2,1.229,0,0,0,1.85
5,New,B,"1,699,807","7,233,387",328,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T5,USER,Power Mode = 3300; Serrations = True,T5,"12,577.86",96.9397,1,,7.54,94.9,0,0,,8.48,2.714,8.1,2.555,6.7,8.36,2.645,7.9,7.45,2.365,4.4,6.75,2.44,5.8,7.15,2.48,5.5,8,2.725,10,8.4,2.855,10.1,8.45,2.825,7.1,8.91,2.925,7.1,9.6,3.1,17.6,9.14,3,8.8,8.56,2.955,9.2,1.229,0,0,0,1.86
6,New,B,"1,701,864","7,233,511",420,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T6,USER,Power Mode = 3300; Serrations = True,T6,"13,495.31",89.8038,1,,8.22,96.2,0,0,,9.24,2.723,8.55,2.555,6.7,8.5,2.645,7.9,8.06,2.365,4.4,7.76,2.44,5.8,8.49,2.48,5.5,9.06,2.725,10,9.03,2.855,10.1,8.87,2.825,7.1,9.3,2.925,7.1,10.38,3.1,17.6,10.41,3,8.8,9.5,2.955,9.2,1.229,0,0,0,1.58
7,New,B,"1,701,464","7,233,151",439,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T7,USER,Power Mode = 3300; Serrations = True,T7,"14,372.74",90.6692,1,,8.51,96.5,0,0,,9.57,2.726,8.8,2.555,6.7,9.08,2.645,7.9,8.53,2.365,4.4,8.13,2.44,5.8,8.65,2.48,5.5,9.1,2.725,10,9.33,2.855,10.1,9.4,2.825,7.1,9.88,2.925,7.1,10.85,3.1,17.6,10.55,3,8.8,9.58,2.955,9.2,1.229,0,0,0,1.47
8,New,B,"1,701,923","7,233,212",438.1,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T8,USER,Power Mode = 3300; Serrations = True,T8,"13,434.67",87.2495,1,,8.34,96.3,0,0,,9.38,2.725,8.75,2.555,6.7,8.7,2.645,7.9,8.05,2.365,4.4,7.85,2.44,5.8,8.6,2.48,5.5,9.2,2.725,10,9.23,2.855,10.1,9.03,2.825,7.1,9.4,2.925,7.1,10.5,3.1,17.6,10.53,3,8.8,9.7,2.955,9.2,1.229,0,0,0,1.53
9,New,B,"1,701,661","7,232,773",429.6,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T9,USER,Power Mode = 3300; Serrations = True,T9,"13,574.55",87.6829,1,,8.39,96.3,0,0,,9.43,2.705,8.5,2.555,6.7,8.73,2.645,7.9,8.23,2.365,4.4,8.2,2.44,5.8,8.58,2.48,5.5,8.97,2.725,10,9,2.855,10.1,9.1,2.825,7.1,9.7,2.925,7.1,10.9,3.1,17.6,10.65,3,8.8,9.43,2.955,9.2,1.229,0,0,0,1.51
10,New,B,"1,700,604","7,232,737",367.8,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T10,USER,Power Mode = 3300; Serrations = True,T10,"12,720.64",94.523,1,,7.69,95.3,0,0,,8.64,2.731,8.26,2.555,6.7,8.35,2.645,7.9,7.45,2.365,4.4,7,2.44,5.8,7.58,2.48,5.5,8.35,2.725,10,8.71,2.855,10.1,8.65,2.825,7.1,8.82,2.925,7.1,9.6,3.1,17.6,9.4,3,8.8,8.8,2.955,9.2,1.229,0,0,0,1.8
11,New,B,"1,702,204","7,232,495",382.2,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T11,USER,Power Mode = 3300; Serrations = True,T11,"12,170.17",87.5562,1,,7.84,95.7,0,0,,8.82,2.706,7.95,2.555,6.7,7.9,2.645,7.9,7.73,2.365,4.4,7.75,2.44,5.8,8,2.48,5.5,8.4,2.725,10,8.48,2.855,10.1,8.64,2.825,7.1,9.08,2.925,7.1,10.18,3.1,17.6,9.9,3,8.8,8.85,2.955,9.2,1.229,0,0,0,1.73
12,New,B,"1,701,240","7,232,464",410.1,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T12,USER,Power Mode = 3300; Serrations = True,T12,"13,805.54",92.0718,1,,8.2,96.2,0,0,,9.22,2.725,8.5,2.555,6.7,8.76,2.645,7.9,7.86,2.365,4.4,7.87,2.44,5.8,8.25,2.48,5.5,8.9,2.725,10,9.03,2.855,10.1,9.03,2.825,7.1,9.38,2.925,7.1,10.4,3.1,17.6,10.25,3,8.8,9.4,2.955,9.2,1.229,0,0,0,1.59
13,New,B,"1,701,822","7,232,321",402.7,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T13,USER,Power Mode = 3300; Serrations = True,T13,"12,876.42",87.6143,1,,8.11,96.2,0,0,,9.12,2.705,8.2,2.555,6.7,8.51,2.645,7.9,8.15,2.365,4.4,8.11,2.44,5.8,8.1,2.48,5.5,8.45,2.725,10,8.75,2.855,10.1,9.05,2.825,7.1,9.6,2.925,7.1,10.6,3.1,17.6,10.1,3,8.8,8.9,2.955,9.2,1.229,0,0,0,1.62
14,New,B,"1,702,207","7,231,906",370.1,Yes,Envision,"V117-3.3MW-3,300","3,300",117,120,T14,USER,Power Mode = 3300; Serrations = True,T14,"12,350.59",87.959,1,,7.89,95.8,0,0,,8.87,2.715,7.87,2.555,6.7,8.37,2.645,7.9,8.23,2.365,4.4,7.84,2.44,5.8,7.83,2.48,5.5,8.25,2.725,10,8.57,2.855,10.1,8.95,2.825,7.1,9.37,2.925,7.1,10.19,3.1,17.6,9.7,3,8.8,8.65,2.955,9.2,1.229,0,0,0,1.71
